date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
02:42:07	134137/134137	---M--	200	added ('OK')	image/jpeg	etag:%2220bf9-5bcc71178b357%22	https://webdesign-croydon.co.uk/_templates/assets/images/web-design-jumbotron.jpg	C:/My%20Web%20Sites/https___webdesign-croydon.co.uk_/webdesign-croydon.co.uk/_templates/assets/images/web-design-jumbotron.jpg	(from https://webdesign-croydon.co.uk/_templates/assets/css/style.css?_bpv=1617031986)
02:42:08	102192/102192	---M--	200	added ('OK')	image/jpeg	etag:%2218f30-5bcc710fe17ef%22	https://webdesign-croydon.co.uk/_templates/assets/images/graphic-design-jumbotron.jpg	C:/My%20Web%20Sites/https___webdesign-croydon.co.uk_/webdesign-croydon.co.uk/_templates/assets/images/graphic-design-jumbotron.jpg	(from https://webdesign-croydon.co.uk/_templates/assets/css/style.css?_bpv=1617031986)
02:42:09	54351/54351	---M--	200	added ('OK')	image/jpeg	etag:%22d44f-5bcc710e7c4f7%22	https://webdesign-croydon.co.uk/_templates/assets/images/digital-marketing-jumbotron.jpg	C:/My%20Web%20Sites/https___webdesign-croydon.co.uk_/webdesign-croydon.co.uk/_templates/assets/images/digital-marketing-jumbotron.jpg	(from https://webdesign-croydon.co.uk/_templates/assets/css/style.css?_bpv=1617031986)
02:42:10	22529/22529	---M--	200	added ('OK')	image/jpeg	etag:%225801-5bcc710f234e6%22	https://webdesign-croydon.co.uk/_templates/assets/images/google.jpeg	C:/My%20Web%20Sites/https___webdesign-croydon.co.uk_/webdesign-croydon.co.uk/_templates/assets/images/google.jpg	(from https://webdesign-croydon.co.uk/_templates/assets/css/style.css?_bpv=1617031986)
02:42:12	94325/94325	---M--	200	added ('OK')	image/jpeg	etag:%2217075-5bcc710dc0ce6%22	https://webdesign-croydon.co.uk/_templates/assets/images/contact-us-jumbotron.jpg	C:/My%20Web%20Sites/https___webdesign-croydon.co.uk_/webdesign-croydon.co.uk/_templates/assets/images/contact-us-jumbotron.jpg	(from https://webdesign-croydon.co.uk/_templates/assets/css/style.css?_bpv=1617031986)
02:42:12	5/5	---M--	200	added ('OK')	text/css	etag:%2261c331a0-5%22	https://p.typekit.net/p.css?s=1&k=kuv1wkn&ht=tk&f=10881.10882.10884.10885.10886&a=18216753&app=typekit&e=css	C:/My%20Web%20Sites/https___webdesign-croydon.co.uk_/p.typekit.net/p421b.css	(from https://use.typekit.net/kuv1wkn.css)
02:42:14	43076/43076	---M--	200	added ('OK')	application/font-woff2	etag:%22e7811049bfa1845589c42f0b31c9740a16cee93a%22	https://use.typekit.net/af/309dfe/000000000000000000010091/27/l?primer=7cdcb44be4a7db8877ffa5c0007b8dd865b3bbc383831fe2ea177f62257a9191&fvd=n7&v=3	C:/My%20Web%20Sites/https___webdesign-croydon.co.uk_/use.typekit.net/af/309dfe/000000000000000000010091/27/l652f	(from https://use.typekit.net/kuv1wkn.css)
02:42:14	50720/50720	---M--	200	added ('OK')	application/font-woff	etag:%22e7811049bfa1845589c42f0b31c9740a16cee93a%22	https://use.typekit.net/af/309dfe/000000000000000000010091/27/d?primer=7cdcb44be4a7db8877ffa5c0007b8dd865b3bbc383831fe2ea177f62257a9191&fvd=n7&v=3	C:/My%20Web%20Sites/https___webdesign-croydon.co.uk_/use.typekit.net/af/309dfe/000000000000000000010091/27/d652f	(from https://use.typekit.net/kuv1wkn.css)
02:42:15	104624/104624	---M-Z	200	added ('OK')	font/opentype	etag:W/%22e7811049bfa1845589c42f0b31c9740a16cee93a%22	https://use.typekit.net/af/309dfe/000000000000000000010091/27/a?primer=7cdcb44be4a7db8877ffa5c0007b8dd865b3bbc383831fe2ea177f62257a9191&fvd=n7&v=3	C:/My%20Web%20Sites/https___webdesign-croydon.co.uk_/use.typekit.net/af/309dfe/000000000000000000010091/27/a652f	(from https://use.typekit.net/kuv1wkn.css)
02:42:15	43084/43084	---M--	200	added ('OK')	application/font-woff2	etag:%22457eff33d9f4e8245ff5b71b234463ccb76ddf1e%22	https://use.typekit.net/af/eb729a/000000000000000000010092/27/l?primer=7cdcb44be4a7db8877ffa5c0007b8dd865b3bbc383831fe2ea177f62257a9191&fvd=i7&v=3	C:/My%20Web%20Sites/https___webdesign-croydon.co.uk_/use.typekit.net/af/eb729a/000000000000000000010092/27/le265	(from https://use.typekit.net/kuv1wkn.css)
02:42:15	50784/50784	---M--	200	added ('OK')	application/font-woff	etag:%22457eff33d9f4e8245ff5b71b234463ccb76ddf1e%22	https://use.typekit.net/af/eb729a/000000000000000000010092/27/d?primer=7cdcb44be4a7db8877ffa5c0007b8dd865b3bbc383831fe2ea177f62257a9191&fvd=i7&v=3	C:/My%20Web%20Sites/https___webdesign-croydon.co.uk_/use.typekit.net/af/eb729a/000000000000000000010092/27/de265	(from https://use.typekit.net/kuv1wkn.css)
02:42:15	105180/105180	---M-Z	200	added ('OK')	font/opentype	etag:W/%22457eff33d9f4e8245ff5b71b234463ccb76ddf1e%22	https://use.typekit.net/af/eb729a/000000000000000000010092/27/a?primer=7cdcb44be4a7db8877ffa5c0007b8dd865b3bbc383831fe2ea177f62257a9191&fvd=i7&v=3	C:/My%20Web%20Sites/https___webdesign-croydon.co.uk_/use.typekit.net/af/eb729a/000000000000000000010092/27/ae265	(from https://use.typekit.net/kuv1wkn.css)
